                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2642,                 2.3588,                 1.7192,                0.43118,                0.38718,                 0.3502,                0.12911,                 2.0815,                  2.079,                  1.683,               0.070121,              0.0033199,              0.0033199
                      2,                 1.8796,                 1.5458,                 1.4357,                0.48089,                0.38572,                0.36239,                0.13953,                 2.1114,                  1.852,                 1.5559,               0.040088,              0.0066203,              0.0066203
                      3,                 1.8584,                  1.441,                 1.3668,                0.23675,                 0.2152,                 0.1246,                0.03975,                 3.0963,                 3.0618,                 2.4908,               0.010022,              0.0098877,              0.0098877
                      4,                 1.8434,                 1.3695,                 1.3498,                0.61014,                0.43903,                0.47261,                0.19785,                 2.1331,                 1.8453,                 1.5884,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7749,                 1.2542,                 1.3138,                0.60276,                0.45147,                0.49171,                0.20642,                 2.1265,                 1.7382,                 1.5161,               0.009802,               0.009802,               0.009802
                      6,                 1.7174,                 1.1704,                 1.2813,                0.72605,                0.61115,                0.66635,                  0.322,                 1.8114,                 1.7989,                 1.4262,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6729,                 1.1155,                 1.2596,                0.74795,                0.64417,                 0.7083,                0.32205,                 1.9728,                 1.1845,                  1.534,               0.009703,               0.009703,               0.009703
                      8,                 1.6318,                 1.0663,                 1.2374,                0.80484,                0.69025,                0.77775,                0.40953,                 1.6305,                   1.06,                 1.2675,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6108,                 1.0416,                 1.2289,                0.86126,                0.77872,                0.86322,                0.46761,                 1.5637,                 0.9449,                 1.2318,               0.009604,               0.009604,               0.009604
                     10,                 1.5909,                  1.018,                 1.2167,                0.82301,                0.71434,                0.79414,                0.41755,                 1.6328,                 1.1418,                 1.2537,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5722,                0.99668,                 1.2047,                0.66291,                0.53747,                0.52492,                 0.2421,                 1.9728,                 1.3741,                 1.5143,               0.009505,               0.009505,               0.009505
                     12,                 1.5644,                0.98284,                 1.1997,                0.88666,                0.75767,                0.85613,                0.47248,                 1.5491,                 0.8825,                 1.2266,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5392,                0.95162,                 1.1868,                0.82504,                0.73221,                0.80979,                0.42644,                 1.6131,                0.99357,                 1.2462,               0.009406,               0.009406,               0.009406
                     14,                 1.5256,                0.93764,                 1.1817,                0.68812,                0.53421,                0.54929,                0.27641,                 1.9628,                 1.4298,                   1.52,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5241,                0.93033,                 1.1778,                0.84486,                0.73492,                0.81778,                0.45289,                 1.5519,                0.91254,                 1.2246,               0.009307,               0.009307,               0.009307
                     16,                  1.499,                0.91257,                 1.1658,                0.88134,                0.81757,                 0.8936,                0.50781,                 1.4773,                0.82919,                 1.1757,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4935,                0.91234,                 1.1646,                0.88703,                0.81946,                0.89852,                0.51193,                  1.478,                0.79042,                 1.1648,               0.009208,               0.009208,               0.009208
                     18,                  1.483,                 0.8938,                 1.1602,                0.88222,                0.79775,                0.88547,                0.51078,                 1.4628,                0.81852,                 1.1564,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4826,                0.89041,                 1.1573,                0.90089,                0.84575,                0.91463,                0.54264,                 1.4051,                 0.7495,                 1.1255,               0.009109,               0.009109,               0.009109
                     20,                 1.4722,                 0.8762,                 1.1548,                0.88025,                0.77124,                0.86226,                0.50067,                 1.4591,                0.83384,                 1.1554,              0.0090595,              0.0090595,              0.0090595
